lon,lat,time
74.38597563684365,57.3106475863856,06:05:54.3927218Z
73.60876909668366,55.914871091116446,06:06:18.2706356Z
72.87697517536277,54.51117536257177,06:06:42.1488827Z
72.18730219295051,53.10377994039361,06:07:06.0278886Z
71.5335043684927,51.693318950902174,06:07:29.9075998Z
70.91576452765035,50.28507174408377,06:07:53.7877833Z
70.32564744562298,48.8691822680797,06:08:17.6689221Z
69.76249137407795,47.45101998173619,06:08:41.5505084Z
69.2254707865331,46.03479944704581,06:09:05.4330806Z
68.70837359295564,44.612335310432734,06:09:29.3161678Z
68.21129402350547,43.188149068007704,06:09:53.2001702Z
67.73194162212953,41.76194712435332,06:10:17.0850394Z
67.26936971478376,40.33450445577429,06:10:40.9705356Z
66.82248423332932,38.909261266168635,06:11:04.8571144Z
66.38900375358189,37.47880309364303,06:11:28.7442623Z
65.96690170016142,36.04749291197209,06:11:52.6325600Z
65.55682531920505,34.61349548501058,06:12:16.5217087Z
64.7671078953938,31.743848770691326,06:13:04.3030714Z
64.38676169861489,30.311953936020085,06:13:28.1952203Z
64.0136160688137,28.874679853567535,06:13:52.0883702Z
63.64778104510528,27.436654039000498,06:14:15.9826622Z
63.28850062899686,25.997344048128234,06:14:39.8779015Z
62.935719618870166,24.55751103905138,06:15:03.7743784Z
58.65899799690933,68.28179126332233,07:41:36.5039125Z
57.142025792971225,66.94027538482216,07:42:00.3782300Z
55.77366422857218,65.58693268515876,07:42:24.2528594Z
54.53384415166475,64.22781235819028,07:42:48.1279339Z
53.39879689197128,62.85641260731234,07:43:12.0034323Z
52.35463842353303,61.47767522943108,07:43:35.8794130Z
51.39361517922984,60.0968527530725,07:43:59.7557740Z
50.500133537976865,58.706397482910106,07:44:23.6327792Z
49.66732112270599,57.310761248320006,07:44:47.5102158Z
48.89011447448619,55.914997000509125,07:45:11.3883121Z
48.157876949238016,54.51140538182485,07:45:35.2667585Z
47.46744488045432,53.10419799916928,07:45:59.1462159Z
46.814073948875816,51.69405019711562,07:46:23.0259805Z
46.19696905715584,50.285026797196096,07:46:46.9065192Z
45.60666845389853,48.86920829051868,07:47:10.7877188Z
45.04338298087445,47.45114816039131,07:47:34.6696799Z
44.50608620673158,46.034803386009145,07:47:58.5522660Z
43.491459410919084,43.18860468796157,07:48:46.3196074Z
42.54965705172742,40.335057109234185,07:49:34.0904039Z
42.10269736818397,38.90983822758796,07:49:57.9770334Z
41.668596791893485,37.479171271940416,07:50:21.8644928Z
41.24726697346701,36.04753055360355,07:50:45.7529032Z
40.83680511313009,34.61432405962211,07:51:09.6423128Z
40.43714829887558,33.1800187842391,07:51:33.5325821Z
40.04688842185432,31.74448016384857,07:51:57.4239099Z
39.66526794040231,30.308340452920433,07:52:21.3161337Z
39.29327970598547,28.875285862910566,07:52:45.2095061Z
38.927326502813614,27.43725594117057,07:53:09.1039415Z
38.56806014881771,25.99824878139826,07:53:32.9993015Z
38.21471090440469,24.558476055035,07:53:56.8959335Z
37.86765331600196,23.117953796322,07:54:20.7935997Z
37.526201024942964,21.676925153384655,07:54:44.6924537Z
37.188898447457,20.235151596198346,07:55:08.5925275Z
36.85617647995371,18.79262757069722,07:55:32.4938344Z
36.52687119739639,17.349952130811698,07:55:56.3962961Z
36.201146618109256,15.90661385285142,07:56:20.3000632Z
35.87869891081062,14.463000428629067,07:56:44.2050980Z
35.55928860908322,13.018911045780113,07:57:08.1113784Z
35.241198938743096,11.570246056401034,07:57:32.0190005Z
34.92628646868636,10.125608809002483,07:57:55.9278206Z
34.30289455111329,7.235448692026979,07:58:43.7497082Z
33.99271691061708,5.7903415634105135,07:59:07.6627072Z
33.68403817935796,4.345287212434519,07:59:31.5769691Z
33.37493860956734,2.8955412051447844,07:59:55.4927141Z
33.06747649650005,1.4500068496654603,08:00:19.4097771Z
32.76049168165695,0.00481875071053632,08:00:43.3283509Z
32.45330206957082,-1.4405355992291635,08:01:07.2483131Z
32.14499634479695,-2.889892839795382,08:01:31.1697652Z
31.837089386654295,-4.334707681093614,08:01:55.0926653Z
31.528220877876095,-5.779391486984576,08:02:19.0170030Z
31.217621235838976,-7.228071563812738,08:02:42.9428851Z
30.906536245834566,-8.671986655864414,08:03:06.8700824Z
30.593890937529228,-10.115906294706138,08:03:30.7989089Z
30.278158831995427,-11.563489787077081,08:03:54.7290841Z
29.961670800687926,-13.00641164368768,08:04:18.6608223Z
29.641938467943184,-14.453051271726952,08:04:42.5940611Z
29.319446552525672,-15.894961045166557,08:05:06.5287286Z
28.99294638340366,-17.340393075286375,08:05:30.4649550Z
28.664159287317972,-18.78100341336732,08:05:54.4025886Z
28.33060775246764,-20.225372843835466,08:06:18.3417497Z
27.9936724078938,-21.664787325613712,08:06:42.2823410Z
27.650976685369688,-23.10764244593381,08:07:06.2244594Z
27.30272381198931,-24.549625278131924,08:07:30.1680021Z
26.950394922009576,-25.9859835461821,08:07:54.1130586Z
26.590610477501126,-27.426235913505593,08:08:18.0596661Z
25.851275314860036,-30.299762948080208,08:09:05.9570239Z
25.469225624917996,-31.73713659993639,08:09:29.9078999Z
25.078725497501672,-33.17305907520832,08:09:53.8602225Z
24.679493533494224,-34.603374570778364,08:10:17.8138579Z
32.42543368602525,66.94101884006876,09:20:53.4652897Z
31.055810561093992,65.5879144610447,09:21:17.3400532Z
29.81226293878532,64.22481588880028,09:21:41.2152578Z
28.679870151442127,62.85754748369683,09:22:05.0908741Z
27.63690855408813,61.4789347672512,09:22:28.9669433Z
26.67352596172692,60.09373194636876,09:22:52.8434935Z
25.781726597869817,58.70736498305044,09:23:16.7205941Z
24.947985504603214,57.31211095687978,09:23:40.5980750Z
24.168668697070792,55.912182140948815,09:24:04.4761334Z
23.438948867468845,54.51270231785547,09:24:28.3547499Z
22.748602339016585,53.10569252136976,09:24:52.2339483Z
22.09515208280215,51.69515838421655,09:25:16.1138387Z
